151,2000-2001 L.C.U. Leagues - Div.1 [Armstrong Cup],2001-03-30,151
200,2000-2001 L.C.U. Leagues - Div.3 [Ennis Shield],2001-03-31,119
152,2001 Target Recruitment Open - Major,2001-04-01,15
153,2001 Target Recruitment Open - Challengers,2001-04-01,33
154,2001 Target Recruitment Open - Masters,2001-04-01,34
201,2001 Fisherwick Challenge,2001-04-02,26
155,2001 Irish Open & Leinster Championships - Junior,2001-04-16,31
156,2001 Irish Open & Leinster Championships - Intermediate,2001-04-16,28
157,2001 Irish Open & Leinster Championships - Senior,2001-04-16,14
158,2001 Irish Junior Championships - Under 12s,2001-04-20,28
159,2001 Irish Junior Championships - Under 16s,2001-04-20,21
160,2001 Irish Junior Championships - Under 10s,2001-04-22,20
161,2001 Irish Junior Championships - Under 14s,2001-04-22,39
162,2001 Irish Junior Championships - Under 19s,2001-04-22,10
163,2000-2001 M.C.U. Leagues - Div.2,2001-04-22,82
164,2000-2001 M.C.U. Leagues - Div.1,2001-04-22,52
165,2001 Limerick Club Championships,2001-04-27,32
166,2001 Tom White Cup,2001-05-01,30
167,2001 Malahide Millennium Tournament - Under 1600,2001-05-07,34
168,2001 Malahide Millennium Tournament - Open,2001-05-07,34
169,2001 Phibsboro Club Championships - Minor,2001-05-14,14
170,2001 Phibsboro Club Championships - Senior,2001-05-14,11
171,2001 Phibsboro Open - Junior,2001-05-20,26
172,2001 Phibsboro Open - Intermediate,2001-05-20,34
173,2001 Phibsboro Open - Senior,2001-05-20,20
174,2001 Rathmines Club Championships - Junior,2001-05-31,6
175,2001 Rathmines Club Championships - Intermediate,2001-05-31,10
176,2001 Rathmines Club Championships - Senior,2001-05-31,7
177,2001 Drogheda Congress - Junior,2001-06-04,8
178,2001 Drogheda Congress - Veterens,2001-06-04,3
179,2001 Drogheda Congress - Section D,2001-06-04,6
180,2001 Drogheda Congress - Section C,2001-06-04,6
181,2001 Drogheda Congress - Section B,2001-06-04,6
182,2001 Drogheda Congress - Section A,2001-06-04,5
183,2001 International Triangular Match - Under 12s,2001-06-16,24
184,2001 International Triangular Match - Under 14s,2001-06-16,24
185,2001 Belfast Summerfest - Major,2001-06-17,19
186,2001 Belfast Summerfest - Open,2001-06-17,21
187,2001 Malahide Club Championships - Intermediate,2001-06-19,8
188,2001 Faber Cup,2001-07-11,18
189,2001 Glorney Cup,2001-07-11,29
190,2001 Irish Championships - Senior,2001-07-13,20
191,2001 Irish Championships - Weekender,2001-07-15,53
192,2001 Elm Mount Club Championships - Div.2 Team,2001-07-23,8
193,2001 Branagan Cup,2001-07-26,79
194,2001 Dublin Club Championships,2001-08-09,18
195,2001 British Championships - (SC\, BK\, JK + JMcD),2001-08-10,33
196,2001 Dublin Open Classic,2001-08-26,64
197,2001 John Alfred v Pat Reynolds,2001-08-26,2
198,2001 Mind Sports Olympiad - (AF),2001-08-27,11
199,2001 World Junior Championships - (SC),2001-08-29,14
202,2001 European Youth Championships - Under 12s - Boys (KSM),2001-09-09,9
203,2001 European Youth Championships - Under 14s - Boys (KMcP),2001-09-09,10
204,2001 European Youth Championships - Under 16s - Boys (GW),2001-09-09,10
205,2001 European Youth Championships - Under 18s - Boys (SS),2001-09-09,10
206,2001 National Club Championships (Bray/Greystones\, Crumlin\, Cork City + Limerick),2001-09-09,26
207,2001 Munster Championships,2001-09-09,25
208,2001 Elm Mount Club Championships - Section A,2001-09-17,7
209,2001 Civil Service Challenge,2001-09-19,42
210,2001 European Club Cup (Bray/Greystones + Dublin),2001-09-29,73
211,2001 Henderson Cup,2001-09-30,17
212,2001 Williamson Shield,2001-09-30,18
213,2001 Elm Mount Club Championships - Section D,2001-10-01,7
214,2001 Elm Mount Club Championships - Section C,2001-10-01,6
215,2001 Elm Mount Club Championships - Section B,2001-10-01,6
216,2001 Isle of Man - Minor (JH),2001-10-07,6
217,2001 Isle of Man - Major (GC\, JC\, PC + GW),2001-10-07,17
218,2001 Isle of Man - Open (JR),2001-10-07,10
219,2001 City of Dublin - Junior,2001-10-14,52
220,2001 City of Dublin - Intermediate,2001-10-14,34
221,2001 City of Dublin - Senior,2001-10-14,12
222,2001 Limerick Open - Stars Barred,2001-10-29,22
223,2001 Limerick Open - Open,2001-10-29,46
224,2001 Braille Championships,2001-10-29,10
225,2001 World Youth Championships - Under 10s - Boys (JF),2001-11-02,12
226,2001 World Youth Championships - Under 14s - Girls (SH),2001-11-02,12
227,2001 World Youth Championships - Under 14s - Boys (AL),2001-11-02,12
228,2001 World Youth Championships - Under 16s - Girls (HLOR),2001-11-02,12
229,2001 World Youth Championships - Under 16s - Boys (SJ),2001-11-02,12
230,2001 European Team Championships - Women (DQ\, ES + GUL),2001-11-15,21
231,2001 European Team Championships - Men (MQ\, MH\, SB + MOC),2001-11-15,36
232,2001 Ulster Championships - Junior,2001-11-25,11
233,2001 Ulster Championships - Intermediate,2001-11-25,12
234,2001 Kilkenny Congress - Challengers,2001-12-02,77
235,2001 Kilkenny Congress - James Mason,2001-12-02,68
236,2001 Kilkenny Congress - Major,2001-12-02,46
237,2001 Kilkenny Congress - Masters,2001-12-02,32
238,2001 Ulster Championships - Senior,2001-12-30,19
239,2002 L.S.C.A. Championships - Under 16s,2002-01-13,38
240,2002 L.S.C.A. Championships - Under 14s,2002-01-27,48
241,2002 L.S.C.A. Championships - Under 19s,2002-01-27,9
242,2002 Gonzaga Classic - Minor,2002-02-03,44
243,2002 Gonzaga Classic - Challengers,2002-02-03,24
244,2002 Gonzaga Classic - Major,2002-02-03,17
245,2002 Gonzaga Classic - Masters,2002-02-03,9
246,2002 Charleville Club Championships,2002-02-07,10
247,2002 Cappelle La Grande Tournament (CD + JR),2002-02-16,20
248,2002 Bunratty Festival - Minor,2002-02-17,113
249,2002 Bunratty Festival - Major,2002-02-17,87
250,2002 Bunratty Festival - Challengers,2002-02-17,66
251,2002 Bunratty Festival - Masters,2002-02-17,43
252,2002 Dublin v St. Albans,2002-02-23,21
253,2002 British Braille Championships - Minor (SH),2002-03-03,6
254,2001-2002 U.C.U. Leagues - Div.2,2002-03-21,90
255,2001-2002 U.C.U. Leagues - Div.1,2002-03-21,58
256,2002 Cork City Congress - Minor,2002-03-24,62
257,2002 Cork City Congress - Major,2002-03-24,62
258,2002 Cork City Congress - Masters,2002-03-24,38
259,2002 Irish Junior Championships - Under 12s,2002-04-05,44
260,2002 Irish Junior Championships - Under 16s,2002-04-05,26
261,2002 Irish Junior Championships - Under 10s,2002-04-07,19
262,2002 Irish Junior Championships - Under 14s,2002-04-07,51
263,2002 Irish Junior Championships - Under 19s,2002-04-07,14
